a: <identity ...>
b: <identity ...>
c: <identity ...>
b: a
c: a
a: b^-1
c: b
a: c^-1
b: c^-1
a: a*b
c: a*b
b: a*c^-1
a: a*c
b: b^-1*a^-1
b: b*c
c: c^-1*a^-1
b: c^-1*a
a: c^-1*b^-1
c: c^-1*b^-1
c: a*b*a^-1
b: a*b*a
a: a*b*c
b: a*b*c
c: a*c^-1*b^-1
c: a*c*a
a: b^-1*a^-1*b^-1
c: b^-1*a*b
a: b*c^-1*b^-1
c: b*c*b
a: c^-1*a^-1*c^-1
a: c^-1*a*b
b: c^-1*b^-1*a^-1
c: c^-1*b^-1*a^-1
b: c^-1*b^-1*c^-1
a: c^-1*b^-1*c
a: a*b*a^-1*c^-1
a: (a*b)^2
b: a*b*c*a
c: a*b*c*a
a: a*b*c*b^-1
c: a*b*c*b
b: a*c^-1*b^-1*c^-1
a: a*c^-1*b*c
b: a*c*a^-1*c^-1
a: (a*c)^2
b: (b^-1*a^-1)^2
b: (b*c)^2
c: (c^-1*a^-1)^2
b: c^-1*a^-1*c*a
c: c^-1*a*b^-1*a^-1
b: c^-1*a*b*a
a: c^-1*b^-1*a^-1*b^-1
c: c^-1*b^-1*a^-1*b
a: c^-1*b^-1*a^-1*c^-1
b: c^-1*b^-1*a^-1*c^-1
c: (c^-1*b^-1)^2
c: c^-1*b^-1*c*a
c: a*b*a^-1*c^-1*a^-1
b: a*b*a^-1*c*a
c: a*b*a*b^-1*a^-1
b: (a*b)^2*a
b: a*b*c*a*c^-1
b: a*b*c*b^-1*a^-1
b: a*(b*c)^2
a: (b^-1*a^-1)^2*b^-1
c: b^-1*a^-1*b*a*b
a: b^-1*a*b*c*b^-1
c: b*c^-1*b^-1*a^-1*b
a: b*c*b^-1*c^-1*b^-1
c: (b*c)^2*b
b: c^-1*(b^-1*a^-1)^2
b: c^-1*b^-1*a^-1*b*c
b: c^-1*b^-1*a^-1*c^-1*a
b: (c^-1*b^-1)^2*c^-1
a: c^-1*b^-1*c^-1*b*c
b: c^-1*b^-1*c*a^-1*c^-1
a: c^-1*b^-1*c*a*c
a: a*b*c*b^-1*a^-1*b^-1
c: a*b*c*b^-1*a*b
a: a*b*c*b*c^-1*b^-1
a: a*c^-1*b^-1*c*b*c
b: a*c^-1*b*c*a*c^-1
a: a*c*a^-1*c^-1*b^-1*c
b: a*c*a*c^-1*a^-1*c^-1
b: b^-1*a*b*c^-1*b^-1*a^-1
b: b*c^-1*b^-1*a*b*c
b: c^-1*a^-1*c^-1*a*c*a
c: c^-1*a^-1*c*a*b*a^-1
b: c^-1*a*b^-1*a^-1*c^-1*a
c: c^-1*a*b*a^-1*b^-1*a^-1
c: c^-1*b^-1*a^-1*b^-1*a*b
a: c^-1*b^-1*a^-1*b*c^-1*b^-1
c: c^-1*b^-1*a^-1*b*c*b
b: a*b*a^-1*c^-1*a*c*a
c: a*b*a^-1*c*a*b*a^-1
b: a*b*a*b^-1*a^-1*c^-1*a
c: (a*b)^2*a^-1*b^-1*a^-1
c: a*c^-1*b*c*a^-1*c^-1*b^-1
c: a*c*a^-1*c^-1*b*c*a
c: b^-1*a^-1*b^-1*(a*b)^2
c: b^-1*a*b*c*b^-1*a*b
a: b*c^-1*b^-1*a^-1*b*c^-1*b^-1
a: b*c*b*(c^-1*b^-1)^2
a: c^-1*a^-1*c*a*b^-1*a^-1*c^-1
a: c^-1*a*b^-1*a^-1*c*a*b
a: (c^-1*b^-1)^2*c*b*c
b: c^-1*b^-1*c^-1*b*c*a*c^-1
a: c^-1*b^-1*c*a^-1*c^-1*b^-1*c
b: c^-1*b^-1*c*a*c^-1*a^-1*c^-1
a: a*b*a^-1*c*a*b^-1*a^-1*c^-1
a: a*b*a*b^-1*a^-1*c*a*b
c: a*b*c*b^-1*a^-1*b*a*b
a: (a*b*c*b^-1)^2
c: a*b*c*b*c^-1*b^-1*a^-1*b
a: a*(b*c)^2*b^-1*c^-1*b^-1
b: b^-1*a^-1*b*a*b*c*b^-1*a^-1
b: b*c*b^-1*c^-1*b^-1*a^-1*b*c
c: c^-1*(b^-1*a^-1)^2*b*a*b
a: c^-1*b^-1*a^-1*b^-1*a*b*c*b^-1
c: (c^-1*b^-1*a^-1*b)^2
a: c^-1*b^-1*a^-1*b*c*b^-1*c^-1*b^-1
c: c^-1*b^-1*c^-1*b*c*a^-1*c^-1*b^-1
c: c^-1*b^-1*c*a^-1*c^-1*b*c*a
b: a*b*c*b^-1*a*b*c^-1*b^-1*a^-1
b: a*b*c*b*c^-1*b^-1*a*b*c
c: (b^-1*a^-1)^2*(b*a)^2*b
a: b^-1*a^-1*b*a*b*c^-1*b^-1*a^-1*b^-1
c: b^-1*a*b*c^-1*b^-1*a^-1*b^-1*a*b
a: (b^-1*a*b*c)^2*b^-1
c: (b*c^-1*b^-1*a^-1)^2*b
a: b*c^-1*b^-1*a*b*c*b*c^-1*b^-1
c: b*c*b^-1*c^-1*b^-1*a*b*c*b
a: (b*c)^2*(b^-1*c^-1)^2*b^-1
b: c^-1*b^-1*a^-1*b^-1*a*b*c^-1*b^-1*a^-1
b: c^-1*b^-1*a^-1*b*c^-1*b^-1*a*b*c
b: b^-1*a*b*c*b^-1*a^-1*b*c^-1*b^-1*a^-1
b: b*c^-1*b^-1*a^-1*b*c*b^-1*a*b*c
a: b^-1*a^-1*b^-1*(a*b)^2*c*b^-1*a^-1*b^-1
c: b^-1*a^-1*b*a*b*c*b^-1*a^-1*b*a*b
a: b^-1*a*b*c^-1*b^-1*a^-1*b*a*b*c*b^-1
c: b*c^-1*b^-1*a*b*c*b^-1*c^-1*b^-1*a^-1*b
a: b*c*b^-1*c^-1*b^-1*a^-1*b*c*b^-1*c^-1*b^-1
c: b*c*b*(c^-1*b^-1)^2*a^-1*b*c*b
b: b^-1*a^-1*b^-1*(a*b)^2*c^-1*(b^-1*a^-1)^2
b: (b^-1*a*b*c^-1*b^-1*a^-1)^2
b: (b*c^-1*b^-1*a*b*c)^2
b: b*c*b*(c^-1*b^-1)^2*a*(b*c)^2
c: b^-1*a^-1*b*a*b*c^-1*(b^-1*a^-1)^2*b*a*b
a: b*c*b^-1*c^-1*b^-1*a*(b*c)^2*b^-1*c^-1*b^-1
b: b^-1*a*b*c*b^-1*a*(b*c^-1*b^-1*a^-1)^2
b: b*c^-1*b^-1*a^-1*b*c^-1*(b^-1*a*b*c)^2
a: b^-1*a^-1*b*a*b*c*b^-1*a^-1*b^-1*a*b*c^-1*b^-1*a^-1*b^-1
a: b^-1*a*b*c*b^-1*a^-1*b*c^-1*b^-1*a^-1*b^-1*a*b*c*b^-1
c: b*c^-1*b^-1*a^-1*b*c*b^-1*a*b*c*b*c^-1*b^-1*a^-1*b
c: b*c*b^-1*c^-1*b^-1*a^-1*b*c*b*c^-1*b^-1*a*b*c*b
b: b^-1*a^-1*b*a*b*c^-1*b^-1*a^-1*b^-1*(a*b)^2*c*b^-1*a^-1
b: b^-1*a*b*c^-1*b^-1*a^-1*b*a*b*c*b^-1*a*b*c^-1*b^-1*a^-1
b: b*c^-1*b^-1*a*b*c*b^-1*c^-1*b^-1*a^-1*b*c^-1*b^-1*a*b*c
b: b*c*b^-1*c^-1*b^-1*a*b*c*b*(c^-1*b^-1)^2*a^-1*b*c
a: b^-1*a*b*c^-1*b^-1*a^-1*b^-1*a*b*c*b^-1*a^-1*b*a*b*c*b^-1
c: b^-1*a*b*c*b^-1*a^-1*b*c^-1*b^-1*a^-1*b*a*b*c*b^-1*a*b
a: b*c^-1*b^-1*a^-1*b*c*b^-1*a*b*c*b^-1*c^-1*b^-1*a^-1*b*c^-1*b^-1
c: b*c^-1*b^-1*a*b*c*b*c^-1*b^-1*a^-1*b*c*b^-1*c^-1*b^-1*a^-1*b
c: b^-1*a*b*c^-1*b^-1*a^-1*b*a*b*c*b^-1*a^-1*b*c^-1*b^-1*a^-1*b^-1*a*b
a: b*c^-1*b^-1*a*b*c*b^-1*c^-1*b^-1*a^-1*b*c*b^-1*a*b*c*b*c^-1*b^-1
